"(PDH-CSV 4.0) (Hora de verano romance)(-120)","\\AUGUSTO-DESKTOP\Procesador(_Total)\% de tiempo de procesador","\\AUGUSTO-DESKTOP\Máquina virtual de memoria dinámica de Hyper-V(RetorchHeavy)\Presión media","\\AUGUSTO-DESKTOP\Máquina virtual de memoria dinámica de Hyper-V(RetorchLight)\Presión media","\\AUGUSTO-DESKTOP\Máquina virtual de memoria dinámica de Hyper-V(RetorchMedium1)\Presión media","\\AUGUSTO-DESKTOP\Máquina virtual de memoria dinámica de Hyper-V(RetorchHeavy)\Memoria física","\\AUGUSTO-DESKTOP\Máquina virtual de memoria dinámica de Hyper-V(RetorchLight)\Memoria física","\\AUGUSTO-DESKTOP\Máquina virtual de memoria dinámica de Hyper-V(RetorchMedium1)\Memoria física","\\AUGUSTO-DESKTOP\Memoria\Bytes disponibles","\\AUGUSTO-DESKTOP\Interfaz de red(Intel[R] I211 Gigabit Network Connection)\Bytes recibidos/s","\\AUGUSTO-DESKTOP\Interfaz de red(Intel[R] I211 Gigabit Network Connection)\Bytes enviados/s","\\AUGUSTO-DESKTOP\Disco físico(_Total)\Bytes de lectura de disco/s","\\AUGUSTO-DESKTOP\Disco físico(_Total)\Bytes de escritura en disco/s"
"10/21/2019 21:16:14.583"," ","84","83","82","3220","3342","3260","16588484608"," "," "," "," "
"10/21/2019 21:16:18.588","4.4743737446346738551","84","83","82","3220","3342","3260","16587599872","589210.08806030103005","13940.977713576703536","0","822271.30037212092429"
"10/21/2019 21:16:22.590","5.1915431314531250706","84","83","82","3220","3342","3260","16588173312","589440.90405364823528","13188.745786800047426","0","892557.71456563216634"
"10/21/2019 21:16:26.593","14.304195354264503948","84","83","82","3220","3458","3306","16414879744","591831.54321581614204","14740.738184765894403","9674449.7127972207963","695034.45056631893385"
"10/21/2019 21:16:30.580","21.696257140290310161","84","84","83","3306","3458","3306","16325357568","587568.23572015448008","18261.822805264193448","14029510.367244506255","2100676.7225705333985"
"10/21/2019 21:16:34.583","24.494726428810530194","84","88","83","3306","4442","3306","15298318336","581605.7932899503503","17357.026924151217827","4801019.5979270199314","912725.80591451446526"
"10/21/2019 21:16:38.585","18.40586733679149134","85","89","84","3306","4442","3306","15330795520","455561.03688715177123","12546.624771792097818","37138844.850009679794","1988758.5840001462493"
"10/21/2019 21:16:42.587","18.674777394481910875","85","90","90","3384","4442","4096","14348476416","571183.35478166979738","16406.871832641361834","9348611.4347704108804","1133525.5326149507891"
"10/21/2019 21:16:46.590","21.418516299827828675","88","88","91","3926","4442","4096","13859840000","518898.86512475309428","20927.094755542690109","37654782.355916149914","3645447.0934004914016"
"10/21/2019 21:16:50.593","18.727290838738742451","91","88","94","3926","4442","4096","13854707712","504128.73169069195865","24805.045127462995879","2088703.6768636747729","1939802.9492871609982"
