"(PDH-CSV 4.0) (Hora de verano romance)(-120)","\\AUGUSTO-DESKTOP\Procesador(_Total)\% de tiempo de procesador","\\AUGUSTO-DESKTOP\Máquina virtual de memoria dinámica de Hyper-V(RetorchHeavy)\Presión media","\\AUGUSTO-DESKTOP\Máquina virtual de memoria dinámica de Hyper-V(RetorchLight)\Presión media","\\AUGUSTO-DESKTOP\Máquina virtual de memoria dinámica de Hyper-V(RetorchMedium1)\Presión media","\\AUGUSTO-DESKTOP\Máquina virtual de memoria dinámica de Hyper-V(RetorchHeavy)\Memoria física","\\AUGUSTO-DESKTOP\Máquina virtual de memoria dinámica de Hyper-V(RetorchLight)\Memoria física","\\AUGUSTO-DESKTOP\Máquina virtual de memoria dinámica de Hyper-V(RetorchMedium1)\Memoria física","\\AUGUSTO-DESKTOP\Memoria\Bytes disponibles","\\AUGUSTO-DESKTOP\Interfaz de red(Intel[R] I211 Gigabit Network Connection)\Bytes recibidos/s","\\AUGUSTO-DESKTOP\Interfaz de red(Intel[R] I211 Gigabit Network Connection)\Bytes enviados/s","\\AUGUSTO-DESKTOP\Disco físico(_Total)\Bytes de lectura de disco/s","\\AUGUSTO-DESKTOP\Disco físico(_Total)\Bytes de escritura en disco/s"
"10/21/2019 22:21:21.513"," ","83","81","83","4476","4270","4298","13468483584"," "," "," "," "
"10/21/2019 22:21:25.502","14.445098113180288024","83","81","83","4476","4270","4298","13466955776","177979.81671457499033","4543.0415370857153903","11321049.804563425481","690965.73885455401614"
"10/21/2019 22:21:29.505","27.153877860993556936","84","81","83","4660","4270","4468","13097136128","308565.58161796914646","10205.189203313513644","31041329.74224852398","650382.21371317922603"
"10/21/2019 22:21:33.508","52.524698508235402983","88","83","84","5714","4270","4468","11812888576","270318.45145394781139","11243.574796765271458","41544193.217111840844","1820628.2212203508243"
"10/21/2019 22:21:37.511","74.799705706944095596","89","85","84","5714","5136","4468","11190804480","131889.15837808159995","7840.6091543271249975","23217116.400020755827","1095241.1179670435376"
"10/21/2019 22:21:41.513","67.986854234259169516","92","86","90","5714","5136","4640","11143880704","217702.6758024932642","17618.70865746839263","29519432.137638956308","1975322.2144869086333"
"10/21/2019 22:21:45.517","34.513277364249560719","92","87","95","6316","5136","5526","9574715392","172480.43017708213301","9465.1945306270772562","1801492.907285524765","2411836.862884176895"
"10/21/2019 22:21:49.505","34.567070410985380136","88","88","95","6976","5136","5526","9338277888","276931.43206809472758","18032.519317699599924","19693443.91178862378","10081925.807766618207"
"10/21/2019 22:21:53.547","36.938988203554387724","86","106","93","6976","5598","5526","7067930624","232801.28506711084628","16204.091304238878365","21181354.099122308195","6616196.8236310109496"
"10/21/2019 22:21:57.505","50.980444315910290243","85","118","94","6976","7338","5526","7482978304","425680.41565012844512","31255.928297179289075","1672464.796084769303","80853349.353358894587"
