"(PDH-CSV 4.0) (Hora de verano romance)(-120)","\\AUGUSTO-DESKTOP\Procesador(_Total)\% de tiempo de procesador","\\AUGUSTO-DESKTOP\Máquina virtual de memoria dinámica de Hyper-V(RetorchHeavy)\Presión media","\\AUGUSTO-DESKTOP\Máquina virtual de memoria dinámica de Hyper-V(RetorchLight)\Presión media","\\AUGUSTO-DESKTOP\Máquina virtual de memoria dinámica de Hyper-V(RetorchMedium1)\Presión media","\\AUGUSTO-DESKTOP\Máquina virtual de memoria dinámica de Hyper-V(RetorchMedium2)\Presión media","\\AUGUSTO-DESKTOP\Máquina virtual de memoria dinámica de Hyper-V(RetorchMedium3)\Presión media","\\AUGUSTO-DESKTOP\Máquina virtual de memoria dinámica de Hyper-V(RetorchHeavy)\Memoria física","\\AUGUSTO-DESKTOP\Máquina virtual de memoria dinámica de Hyper-V(RetorchLight)\Memoria física","\\AUGUSTO-DESKTOP\Máquina virtual de memoria dinámica de Hyper-V(RetorchMedium1)\Memoria física","\\AUGUSTO-DESKTOP\Máquina virtual de memoria dinámica de Hyper-V(RetorchMedium2)\Memoria física","\\AUGUSTO-DESKTOP\Máquina virtual de memoria dinámica de Hyper-V(RetorchMedium3)\Memoria física","\\AUGUSTO-DESKTOP\Memoria\Bytes disponibles","\\AUGUSTO-DESKTOP\Disco físico(_Total)\Bytes de lectura de disco/s","\\AUGUSTO-DESKTOP\Disco físico(_Total)\Bytes de escritura en disco/s"
"10/21/2019 23:49:46.013"," ","82","83","81","81","81","4884","4890","4798","3928","4096","5731598336"," "," "
"10/21/2019 23:49:50.014","5.2304714953380182507","82","83","81","81","81","4884","4890","4798","3928","4096","5192364032","51324.811446088919183","129143.97693043321487"
"10/21/2019 23:49:54.015","39.211413504030510069","82","84","81","81","81","4884","4890","4798","3928","4096","4835446784","2817907.3864214173518","172023.41603154002223"
"10/21/2019 23:49:58.015","91.041899441201152854","82","89","82","81","81","4884","5694","4946","3928","4096","4246966272","2051630.3824846949428","168537.75035755633144"
"10/21/2019 23:50:02.016","88.55186967030496703","82","91","85","82","81","4884","5694","4946","4002","4096","4457988096","19101176.02384871617","11343274.897155590355"
"10/21/2019 23:50:06.017","87.599095074903445379","83","112","88","83","82","4750","5694","6134","3892","4096","2723647488","7012865.3184990556911","17408400.8265796341"
"10/21/2019 23:50:10.003","76.386876097169547961","84","132","89","84","83","4750","7996","6134","3892","4096","1448800256","5963678.9172299411148","18813603.330241899937"
"10/21/2019 23:50:14.005","78.696235255970321987","84","140","88","85","83","4750","7996","6134","3892","4096","1575231488","3275632.1645888574421","12821946.620352799073"
"10/21/2019 23:50:18.006","79.791447438053978658","88","139","89","90","88","4464","7996","5644","3290","3502","1747947520","19409695.921477340162","9202141.6862051170319"
"10/21/2019 23:50:22.007","73.82897555829434566","92","128","92","96","92","4120","9258","5644","4056","3192","1612574720","22990739.131329301745","5322489.7343183411285"
"10/21/2019 23:50:26.007","80.763871080116473422","104","117","101","102","101","4592","9258","5054","4056","2962","1696960512","1195240.6526523579378","3655089.1743332999758"
"10/21/2019 23:50:30.008","72.171977518039653887","102","111","105","107","104","5702","9258","5054","4056","2962","1437577216","1043334.5297773706261","26683229.405016519129"
"10/21/2019 23:50:34.008","57.670901894376292773","102","97","104","110","106","5702","9258","5054","4056","2962","1433530368","315352.56516172649572","3051138.4551361850463"
"10/21/2019 23:50:38.009","41.272272101462789351","102","86","105","110","108","5702","9258","5054","4056","2962","1234472960","1646145.5119970662054","1324415.7586610929575"
"10/21/2019 23:50:42.009","45.121746510908607775","105","74","105","110","110","5112","9258","5054","4552","2962","1039630336","2505121.8583192136139","1537271.6824335602578"
"10/21/2019 23:50:46.010","42.39094545827492766","108","64","110","107","107","5112","9258","4796","4652","3322","1250734080","1279310.0799506306648","22520899.905845593661"
"10/21/2019 23:50:50.010","37.653510508027984827","110","63","109","102","105","5112","5682","6030","5458","3962","1680056320","261084.76661074586445","2181465.6112157660536"
"10/21/2019 23:50:54.011","33.480995986512084528","103","66","100","97","99","6420","5682","6096","5458","3962","1189736448","53624.484528493332618","24261047.814148847014"
"10/21/2019 23:50:58.011","19.289634216689876212","99","68","88","92","90","6420","5682","6096","5458","4544","972288000","402423.62958850461291","3566517.8164294185117"
"10/21/2019 23:51:02.011","11.481760060831081915","97","69","82","90","85","6420","5682","6096","5458","4544","958795776","33789.168467682407936","1040296.8231262218906"
"10/21/2019 23:51:06.012","23.673690493118371592","95","70","76","89","81","6420","5170","6096","5458","4544","1260322816","3277318.5762521750294","26244143.663133509457"
"10/21/2019 23:51:10.012","19.99590554033042622","90","77","72","82","79","7096","4542","6096","4086","4544","2372665344","2105589.3141342308372","7443418.2246525101364"
"10/21/2019 23:51:14.012","12.670930565174298721","79","81","69","82","77","7096","4542","6096","4086","4544","2141704192","26265633.965461827815","280570.89360973628936"
"10/21/2019 23:51:18.013","11.46448463218036018","71","84","68","82","76","7096","4542","6096","4086","4544","2114359296","4898837.4171776222065","280277.28574165300233"
"10/21/2019 23:51:22.014","10.154289689149443632","67","86","66","82","75","7096","4542","6096","4086","4544","2116177920","884514.87128217937425","266301.42464383901097"
"10/21/2019 23:51:26.015","11.887208127473215313","63","87","66","82","75","7096","4542","6096","4086","4544","2631467008","155353.50728473250638","249538.17067975981627"
"10/21/2019 23:51:30.016","4.9554059007545170346","62","88","65","82","74","7096","4542","6096","4086","4544","2742464512","634594.31917654257268","33655.637415493183653"
"10/21/2019 23:51:34.017","3.8570384332436091768","60","88","65","82","74","7096","4542","6096","4086","4544","2850779136","482056.2210804670467","24392787.00224961713"
"10/21/2019 23:51:38.003","4.5732218481211557304","59","89","64","82","74","7096","4542","6096","4086","4544","2838638592","689002.54430149320979","73087.704643465636764"
"10/21/2019 23:51:42.003","9.9853792547517468137","58","88","64","82","74","7096","4872","6096","4086","4544","1888411648","118272.12714253668673","175360.18851220264332"
"10/21/2019 23:51:46.004","12.253421436936651645","58","86","64","82","74","7096","4872","6096","4086","4544","1894248448","209227.33747915650019","107620.91181649579084"
"10/21/2019 23:51:50.004","14.965900782394259139","57","85","64","82","74","7096","4872","6096","4086","4544","2413416448","414336.30039381777169","45056.032665623686626"
"10/21/2019 23:51:54.004","4.798752118228710728","57","85","64","82","74","7096","4872","6096","4086","4544","2515173376","180965.20810094065382","25595954.518933471292"
"10/21/2019 23:51:58.004","4.9560716326874647564","57","84","64","82","74","7096","4872","6096","4086","4544","2513629184","284673.13157569803298","42880.170448677534296"
