"(PDH-CSV 4.0) (Hora de verano romance)(-120)","\\AUGUSTO-DESKTOP\Procesador(_Total)\% de tiempo de procesador","\\AUGUSTO-DESKTOP\Máquina virtual de memoria dinámica de Hyper-V(RetorchHeavy)\Presión media","\\AUGUSTO-DESKTOP\Máquina virtual de memoria dinámica de Hyper-V(RetorchLight)\Presión media","\\AUGUSTO-DESKTOP\Máquina virtual de memoria dinámica de Hyper-V(RetorchMedium1)\Presión media","\\AUGUSTO-DESKTOP\Máquina virtual de memoria dinámica de Hyper-V(RetorchHeavy)\Memoria física","\\AUGUSTO-DESKTOP\Máquina virtual de memoria dinámica de Hyper-V(RetorchLight)\Memoria física","\\AUGUSTO-DESKTOP\Máquina virtual de memoria dinámica de Hyper-V(RetorchMedium1)\Memoria física","\\AUGUSTO-DESKTOP\Memoria\Bytes disponibles","\\AUGUSTO-DESKTOP\Interfaz de red(Intel[R] I211 Gigabit Network Connection)\Bytes recibidos/s","\\AUGUSTO-DESKTOP\Interfaz de red(Intel[R] I211 Gigabit Network Connection)\Bytes enviados/s","\\AUGUSTO-DESKTOP\Disco físico(_Total)\Bytes de lectura de disco/s","\\AUGUSTO-DESKTOP\Disco físico(_Total)\Bytes de escritura en disco/s"
"10/23/2019 23:34:50.637"," ","83"," "," ","4722"," "," ","23104196608"," "," "," "," "
"10/23/2019 23:34:54.640","11.51767434789487865","83"," "," ","4722"," "," ","23096086528","2117.3368500985493483","708.77801072704039598","1023.6793836170512577","59373.404249788974994"
"10/23/2019 23:34:58.642","26.24439464433037017","84"," "," ","4928"," "," ","22880854016","18117.13819993540892","2927.8027094333624518","0","701085.16389522165991"
"10/23/2019 23:35:02.643","11.579100445902412275","87"," "," ","7186"," "," ","20513013760","151093.06076883312198","8234.364884403627002","15354.620124973711427","286619.57566617598059"
"10/23/2019 23:35:06.644","7.2560620280704206664","84"," "," ","7186"," "," ","20512956416","66184.660410867028986","2898.815349460950074","0","469864.50393731798977"
"10/23/2019 23:35:10.646","2.3678850099816628472","83"," "," ","7186"," "," ","20514107392","5112.4547643955456806","1050.2271444161524414","0","224144.40970562805887"
"10/23/2019 23:35:14.632","1.0443001541434959734","82"," "," ","7186"," "," ","20514471936","1017.3208470391498395","233.31896121982967429","0","50352.740637273862376"
"10/23/2019 23:35:18.634","7.0044355355588727718","81"," "," ","7186"," "," ","20514435072","777.86761972483373029","1058.9794321856231818","4093.987498095623323","99279.19682881886547"
"10/23/2019 23:35:22.636","7.7853625133773700639","81"," "," ","7186"," "," ","20514279424","390.30612518996497329","244.87836279524051974","0","97231.702582534679095"
"10/23/2019 23:35:26.638","8.1513943028485797981","81"," "," ","7186"," "," ","20514574336","0","0","0","56289.668312229950971"
"10/23/2019 23:35:30.639","8.0064142951433598938","80"," "," ","7186"," "," ","20518105088","150.9679117703531972","216.45399270385078694","0","1281775.5586050183047"
"10/23/2019 23:35:34.641","7.8829458919377977111","80"," "," ","7186"," "," ","20520734720","4952.0126040689765432","1758.3667723702385501","5117.4295151545384215","389948.1290547758108"
"10/23/2019 23:35:38.643","2.3749216875051826214","80"," "," ","7186"," "," ","20521046016","332.14021935399802032","251.41690042898568436","1023.6616542317349285","1029803.6241571253631"
"10/23/2019 23:35:42.644","5.6536668374720822072","80"," "," ","7186"," "," ","20521205760","6051.8403084851688618","971.61312794278148885","0","64486.323158276456525"
"10/23/2019 23:35:46.646","2.4830545494782807481","73"," "," ","7186"," "," ","20520853504","1599.3003460810980414","15.993003460810982119","12282.626657902834268","52968.827462205968914"
