"(PDH-CSV 4.0) (Hora de verano romance)(-120)","\\AUGUSTO-DESKTOP\Procesador(_Total)\% de tiempo de procesador","\\AUGUSTO-DESKTOP\Máquina virtual de memoria dinámica de Hyper-V(RetorchHeavy)\Presión media","\\AUGUSTO-DESKTOP\Máquina virtual de memoria dinámica de Hyper-V(RetorchLight)\Presión media","\\AUGUSTO-DESKTOP\Máquina virtual de memoria dinámica de Hyper-V(RetorchMedium1)\Presión media","\\AUGUSTO-DESKTOP\Máquina virtual de memoria dinámica de Hyper-V(RetorchHeavy)\Memoria física","\\AUGUSTO-DESKTOP\Máquina virtual de memoria dinámica de Hyper-V(RetorchLight)\Memoria física","\\AUGUSTO-DESKTOP\Máquina virtual de memoria dinámica de Hyper-V(RetorchMedium1)\Memoria física","\\AUGUSTO-DESKTOP\Memoria\Bytes disponibles","\\AUGUSTO-DESKTOP\Interfaz de red(Intel[R] I211 Gigabit Network Connection)\Bytes recibidos/s","\\AUGUSTO-DESKTOP\Interfaz de red(Intel[R] I211 Gigabit Network Connection)\Bytes enviados/s","\\AUGUSTO-DESKTOP\Disco físico(_Total)\Bytes de lectura de disco/s","\\AUGUSTO-DESKTOP\Disco físico(_Total)\Bytes de escritura en disco/s"
"10/23/2019 23:37:56.878"," ","76"," "," ","4954"," "," ","22859542528"," "," "," "," "
"10/23/2019 23:38:00.881","30.492082070351035128","80"," "," ","4954"," "," ","22861049856","3604.9471813497402763","921.6086713102546355","8190.7439494153577471","2548473.1916360626929"
"10/23/2019 23:38:04.866","17.713702876194069802","85"," "," ","6052"," "," ","21709357056","85279.467939789567026","7478.1634090367942918","0","2644663.2042417111807"
"10/23/2019 23:38:08.867","16.361007743632626443","88"," "," ","6052"," "," ","21707575296","140571.9299740724673","7471.4849113917016439","8189.2432959754914918","747012.53690476436168"
"10/23/2019 23:38:12.869","22.712362024715559983","90"," "," ","6052"," "," ","21705162752","75279.445650839683367","6746.7392343053224977","0","1544583.9562451045495"
"10/23/2019 23:38:16.871","14.465565011314874155","93"," "," ","6052"," "," ","21705228288","136588.59348016374861","6699.5984039312579625","4094.2267903770880366","222879.47090115273022"
"10/23/2019 23:38:20.872","16.86776579495802153","93"," "," ","6866"," "," ","20851580928","2471.847741177296939","541.60708343085968863","0","1050346.8397276669275"
"10/23/2019 23:38:24.874","18.666034962620013715","90"," "," ","6866"," "," ","20852277248","18797.848278947505605","4308.2098472268462501","0","850541.22620233194903"
"10/23/2019 23:38:28.876","8.5647895724100813197","88"," "," ","6866"," "," ","20852596736","194556.62254900761764","9051.9055379370674927","4094.0350678691766007","631249.03202707867604"
"10/23/2019 23:38:32.877","12.193987840255704924","88"," "," ","6866"," "," ","20852813824","8810.1037183235785051","774.6793795717796911","0","184243.74611957476009"
"10/23/2019 23:38:36.878","12.035285746948387597","86"," "," ","6866"," "," ","20852936704","71356.276872041620663","5930.6315306552851325","0","1077977.8198529621586"
"10/23/2019 23:38:40.880","11.908822514619766153","86"," "," ","6866"," "," ","20852490240","138997.22862126649125","7985.3709064479198787","0","491281.34780327085173"
"10/23/2019 23:38:44.866","21.790584795107427851","85"," "," ","6866"," "," ","20851916800","16517.915521606842958","5290.9516597500587523","0","1156141.182100164704"
"10/23/2019 23:38:48.867","15.36174649080708221","85"," "," ","6866"," "," ","20851998720","67154.146697896459955","4656.3287272115858286","0","254884.51557524714735"
"10/23/2019 23:38:52.869","10.801144756692970361","86"," "," ","6866"," "," ","20852281344","136603.19874944110052","6922.0870731029781382","0","541487.68968577787746"
"10/23/2019 23:38:56.870","12.238345552348285139","85"," "," ","6866"," "," ","20852785152","71057.062871771864593","7039.955056247167704","40945.198310810643306","1729934.6286317498889"
"10/23/2019 23:39:00.872","7.2686694789063643896","86"," "," ","6866"," "," ","20852994048","33957.439439492714882","3417.9589277684422086","0","469804.17704167630291"
"10/23/2019 23:39:04.873","16.333226498118957437","85"," "," ","6866"," "," ","20853121024","118886.56484470656142","9534.9681730355168838","0","962279.25502734584734"
"10/23/2019 23:39:08.875","14.563062664585558537","85"," "," ","6866"," "," ","20852543488","94304.870919801847776","4885.1712375091583453","0","246679.03190494864248"
"10/23/2019 23:39:12.877","18.497062205471227259","85"," "," ","6866"," "," ","20852187136","114896.74378140829504","8806.4190031342586735","16375.946309604934868","628682.81379217701033"
"10/23/2019 23:39:16.878","12.579317648487153392","85"," "," ","6866"," "," ","20851908608","93781.892392299079802","17932.276000057081546","0","2171759.9403675291687"
"10/23/2019 23:39:20.880","6.6125540076265139078","85"," "," ","6866"," "," ","20851879936","137419.38674265731242","6465.6275867976455629","4094.0228939939179327","198432.17214326770045"
"10/23/2019 23:39:24.866","10.30616665985114544","84"," "," ","6866"," "," ","20852183040","386.34997442187557226","587.55301304937177065","0","325746.21427827578736"
"10/23/2019 23:39:28.868","3.3799455098616593141","77"," "," ","6866"," "," ","20851351552","65.476757388046181063","31.988644830801185037","0","133200.71707545613754"
