"(PDH-CSV 4.0) (Hora de verano romance)(-120)","\\AUGUSTO-DESKTOP\Procesador(_Total)\% de tiempo de procesador","\\AUGUSTO-DESKTOP\Máquina virtual de memoria dinámica de Hyper-V(RetorchHeavy)\Presión media","\\AUGUSTO-DESKTOP\Máquina virtual de memoria dinámica de Hyper-V(RetorchLight)\Presión media","\\AUGUSTO-DESKTOP\Máquina virtual de memoria dinámica de Hyper-V(RetorchMedium1)\Presión media","\\AUGUSTO-DESKTOP\Máquina virtual de memoria dinámica de Hyper-V(RetorchHeavy)\Memoria física","\\AUGUSTO-DESKTOP\Máquina virtual de memoria dinámica de Hyper-V(RetorchLight)\Memoria física","\\AUGUSTO-DESKTOP\Máquina virtual de memoria dinámica de Hyper-V(RetorchMedium1)\Memoria física","\\AUGUSTO-DESKTOP\Memoria\Bytes disponibles","\\AUGUSTO-DESKTOP\Interfaz de red(Intel[R] I211 Gigabit Network Connection)\Bytes recibidos/s","\\AUGUSTO-DESKTOP\Interfaz de red(Intel[R] I211 Gigabit Network Connection)\Bytes enviados/s","\\AUGUSTO-DESKTOP\Disco físico(_Total)\Bytes de lectura de disco/s","\\AUGUSTO-DESKTOP\Disco físico(_Total)\Bytes de escritura en disco/s"
"10/24/2019 00:31:11.907"," ","54"," "," ","8000"," "," ","19333517312"," "," "," "," "
"10/24/2019 00:31:15.910","5.1604901216807164133","54"," "," ","8000"," "," ","19330207744","2676.5247287116371808","228.18816671152532649","0","119519.61317282049276"
"10/24/2019 00:31:19.911","21.493223858381803382","56"," "," ","8000"," "," ","19328266240","19281.781622627895558","2827.2949362158115036","0","656744.07925481966231"
"10/24/2019 00:31:23.897","10.974484742024481321","62"," "," ","8000"," "," ","19328389120","141977.79144336195895","8787.2767639876583416","4111.2179817006135636","374249.31189668399747"
"10/24/2019 00:31:27.898","24.640828034399142155","66"," "," ","8000"," "," ","19329568768","76784.546111135859974","6976.5966892877531791","0","1867254.9418559467886"
"10/24/2019 00:31:31.900","14.748184789348995238","69"," "," ","8000"," "," ","19329019904","184249.6259294905467","9754.199374145735419","5118.3992206437442292","862578.22865898697637"
"10/24/2019 00:31:35.901","18.09695074222068456","71"," "," ","8000"," "," ","19328770048","14421.936598008878718","1012.3770149982492512","0","620443.41313551552594"
"10/24/2019 00:31:39.903","16.902220249762013538","73"," "," ","8000"," "," ","19328847872","5439.6381964611791773","1494.919634824770128","4094.4104475040176112","578975.22734236496035"
"10/24/2019 00:31:43.904","18.153003296628767771","73"," "," ","8000"," "," ","19328471040","73572.110266009098268","6316.004792627216375","0","946111.3303543626098"
"10/24/2019 00:31:47.906","8.8802492941093991163","74"," "," ","8000"," "," ","19328524288","134227.27055781992385","6446.0235486264218707","0","78939.54966294314363"
"10/24/2019 00:31:51.908","15.997410143808343364","74"," "," ","8000"," "," ","19327545344","22688.531646624302084","5449.5260454281951752","0","1883477.7572693731636"
"10/24/2019 00:31:55.909","8.193579172311649117","74"," "," ","8000"," "," ","19324452864","195281.63875543235918","10493.155046823987504","4094.3046508017196174","750793.1153407653328"
"10/24/2019 00:31:59.911","17.933815994693681262","75"," "," ","8000"," "," ","19328020480","3258.6976379127390828","1310.8755316686012975","0","764435.84187582635786"
"10/24/2019 00:32:03.896","18.812903124783876052","74"," "," ","8000"," "," ","19327954944","144431.80942178997793","9151.4691735336782585","0","567626.46889248280786"
"10/24/2019 00:32:07.897","16.13671599813222457","76"," "," ","7218"," "," ","20148871168","66905.23541546020715","3115.09140571423859","8189.6112951254945074","152275.58501873965724"
"10/24/2019 00:32:11.899","15.29670916330758601","77"," "," ","7330"," "," ","20031504384","71426.61872189900896","5874.8983012872749896","0","1266383.1822077592369"
"10/24/2019 00:32:15.901","7.807291175362651714","79"," "," ","7330"," "," ","20031717376","137695.78512857636088","5965.9352717387937446","0","84184.281855820430792"
"10/24/2019 00:32:19.903","14.983596890043315852","79"," "," ","7330"," "," ","20031606784","8567.7321983986730629","2436.0365492938831267","8187.9213916567805427","862418.4078305993462"
"10/24/2019 00:32:23.905","11.092705748567510682","80"," "," ","7330"," "," ","20031488000","157177.55012135044672","8138.0125355981817847","0","405611.10016512934817"
"10/24/2019 00:32:27.906","19.704674081845542588","81"," "," ","7330"," "," ","20031315968","45685.380423348891782","2345.2238481674489776","0","240432.42888765965472"
"10/24/2019 00:32:31.908","18.513701351320076327","81"," "," ","7330"," "," ","20031438848","125900.15252900366613","7986.3062761201799731","18424.631989667333983","959360.35179531713948"
"10/24/2019 00:32:35.909","11.626294028870919561","82"," "," ","7330"," "," ","20027056128","92682.127341638682992","6763.9786559673266311","20473.125124583166325","731402.39507573354058"
"10/24/2019 00:32:39.910","4.9928630152247466256","76"," "," ","7330"," "," ","20027363328","261.89851432569878398","449.07598305656557613","0","364146.89307893189834"
